location;duration;category;name;info 
false;true;Sport;Bouldern?;Eine der weltweit größten Boulderhallen liegt in der Nähe des Ostbahnhofs. Sie bietet rund 1600 Quadratmeter Kletterfläche und hat heute bis 23 Uhr geöffnet. 
false;true;Sport;Klettern?;Die alpine Herausforderung in der Stadt liegt in der Nähe des Ostbahnhofs. Das Kletter- und Boulderzentrum in München ist die größte Kletteranlage der Welt. Es ist für Anfänger und Fortgeschrittene geeignet und bis 23 Uhr geöffnet. 
false;true;Sport;einem Besuch im Schwimmbad?;Egal, wie grau es draußen ist - im Müller'schen Volksbad fühlst du dich immer erhaben. Schon das Jugendstil-Flair ist ein Erlebnis für sich. Es liegt in der Nähe des Isartors und ist heute noch bis 23 Uhr geöffnet.
false;false;Spass;einem Film im Kino?;Hast du mal wieder Lust auf einen spannenden Film? Oder darfs lieber eine lustige Komödie sein? In deiner Nähe befindet sich das Mathäser Kino am Stachus, das eine Vielzahl an Filmen bietet.
false;false;Spass;Spannung im Escape Room?;"In dieser spannenden Attraktion bist du mit deinen Freunden in einem mysteriösen Raum. Löse originelle und spannende Rätsel, um dort zu entkommen. In deiner Nähe befindet sich das ""Exit the room"" in der Georgenstraße 28. "
false;false;Spass;Lasertag?;Weste an und los geht’s! Bei Lasertag erlebst du völlig neue Dimensionen. Hier sind körperliche Ausdauer, taktisches Verständnis und Teamgeist gefragt. TerraMars bietet eine Lasertag Arena in Obersendling an und hat heute noch bis 22 Uhr geöffnet.
false;false;Spass;einer Führung durch die Allianz Arena?;Wirf einen Blick hinter die Kulissen der Allianz Arena und entdecke die Mannschaftskabine und vieles mehr. In der FC Bayern Erlebniswelt erfährst du alles über den Münchner Verein und kannst die zahlreichen Pokale und Meisterschalen bewundern. Geöffnet ist sie heute bis 20 Uhr.
false;true;Spass;einem Besuch in der Therme?;Einen entspannten Tag kann man toll in der Therme Erding verbringen. Sie ist die größte Therme der Welt. Hier gibt es 27 Rutschen, ein Wellenbad, eine exotische Therme und Saunen. Sie hat heute bis 23 Uhr geöffnet. 
false;true;Spass;einem Besuch in der Bavaria Filmstadt?;Entdecke die Welt von Film und Fernsehen. Bei einer Führung über das Filmgelände erfährst du alles übers Filmemachen und kannst dir die Originalkulissen von berühmten Filmen ansehen. Die Filmstadt  liegt in Grünwald und ist bis 18 Uhr geöffnet.
false;true;Spass;einem Besuch im Sealife?;Im Sea Life Center im Olympiapark tauchst du in die Unterwasserwelt ein - ganz ohne nass zu werden. Im Aquarium schwimmen 4.500 Tiere verschiedener Fluss- und Meeresarten hinter den Scheiben vorbei. Das Sea Life findest du im Olympiapark und ist heute bis 17 Uhr geöffnet.
false;true;Spass;einem Tag im Lesecafé?;Bei Regen vergeht ein Tag viel schöner mit einem guten Buch. In Lesecafés findest Du neben Büchern aber auch entspannte Ecken zum Schmökern und eine Auswahl an Kuchen und Getränken. Besonders gemütlich kannst du bei Buch&Bohne am Kapuzinerplatz 4 einkehren. 
false;true;Spass;Bowlen?;Bowling ist immer eine Gaudi. Also schnapp dir ein paar Freunde und schau, wer die meisten Pins abräumt. Das Bavaria Bowling liegt ganz in deiner Nähe an der Maillinger Straße und ist heute bis 23 Uhr geöffnet.
true;false;Kultur;einer Probiertour über den Viktualienmarkt?;Der Viktualienmarkt ist das kulinarische Zentrum Münchens. Hier findest du alles von frischem Obst bis zu exotischen Gewürzen. Außerdem gibt es Imbissstände und einen gemütlichen Biergarten.  Er hat heute von 8 bis 20 Uhr geöffnet.
true;false;Kultur;einer Rikschatour durch München?;Auf dieser Stadtrundfahrt mit Führung erkundest du mit den ausgebildeten Rikscha-Guides die Altstadt München und begibst dich auf eine unterhaltsame Reise durch Geschichte und Gegenwart. Verfügbare Rikscha-Guides warten von 9 bis 16 Uhr am Odeonsplatz.
true;false;Kultur;einem Graffitispaziergang durch München?;München hat eine lebendige Street-Art-Szene. Vom buntesten Schlachthof Deutschland bis zur Künstlerbrücke - In ganz München lassen sich Graffiti, Stencils und Sticker entdecken. Wer mit offenen Augen durch die Stadt läuft, wird fündig werden. 
true;true;Kultur;einer Stadtrallye?;Auf der Stadtrallye wirst du an geheimnisvolle Orte und versteckte Plätze geführt. Begebe dich auf die Spurensuche  und löse gemeinsam im Team spannende Aufgaben. Die gemeinsame Auswertung findet anschließend in einem schönen Lokal statt. 
true;true;Kultur;einer 3-Touren-Stadtrundfahrt?;Die 3-Touren Stadtrundfahrt bietet dir einen Tag lang Münchens Sehenswürdigkeiten. An insgesamt 12 Stopps kannst du beliebig aus- oder zusteigen. Das 3-Touren-Ticket für Erwachsene kostet 22 Euro und die Adresse der Ticketverkaufsstelle lautet Luisenstraße 4. 
true;true;Kultur;einem Besuch in der KZ-Gedenkstätte Dachau?;In der KZ-Gedenkstätte Dachau erinnern neben Originalschauplätzen auch ein Museum, ein Archiv und eine Bibliothek an die Opfer des NS-Terrors. Die Gedenkstätte befindet sich in der Alten Römerstraße 75 in Dachau und hat heute von 9 bis 17 Uhr geöffnet. 
true;false;Sport;Sightrunning?;RunMunich verbindet Sport und Kultur zu einem einzigartigen Lauferlebnis. Auf spannenden 6-Kilometer-Strecken bietet München dabei alles, was das Läuferherz begehrt. Start ist jeweils um 9 Uhr und um 17 Uhr im Innenhof des Deutschen Museums. 
true;false;Sport;einem Besuch auf der AOK Bewegungsinsel? ;Bei der AOK-Bewegungsinsel handelt es sich um einen Outdoor-Trainingspark mit Einbindung von Koordinations- und Balancegeräten. Sie ist zu jeder Zeit kostenlos und frei zugänglich und befindet sich auf dem Olympiaparkgelände am Willi-Gebhardt-Ufer. 
true;false;Sport;Inline Skaten im Englischen Garten?;Im Englischen Garten finden Inline Skater kilometerlangen Fahrspass durch abwechslungsreiche Natur. Der Eingang zum Südteil befindet sich bei der Eisbach Surfwelle in der Prinzregentenstraße.
true;true;Sport;einem Besuch im Kletterwald?;Der Kletterwald München bietet für Groß und Klein sowie Anfänger und Profikletterer Spass und Action auf insgesamt 5 Parcours. Er befindet sich am Walderlebniszentrum in Grünwald. Die Öffnungszeiten sind heute von 10 bis 19 Uhr. 
true;true;Sport;einer Radtour entlang der Mangfall?;Auf meist ebener Strecke entlang der Mangfall führt dieser Radweg von München nach Rosenheim. Aying, der alte Industriestandort Bruckmühl und Bad Aibling liegen auf dem Weg. Schöne Eindrücke entlang der Route versprechen unter anderem die Rokokokirche Sankt Sebastian in Bad Aibling und das Innschifffahrtmuseum Rosenheim. 
true;true;Sport;Sightrunning?;RunMunich verbindet Sport und Kultur zu einem einzigartigen Lauferlebnis. Auf spannenden 6-Kilometer-Strecken bietet München dabei alles, was das Läuferherz begehrt. Start ist jeweils um 9 Uhr und um 17 Uhr im Innenhof des Deutschen Museums. 
true;false;Spass;Flying Fox?;Der Blick vom Dach des Olympiastadions von 40 Metern Höhe lässt einen im ersten Moment etwas zögern, jedoch ist der anschließende 200 Meter lange Flug quer über das Olympiastadion ein einmaliges Erlebnis. Die Tickets kosten für Erwachsene 40 Euro.
true;false;Spass;Gokart fahren auf Münchens Straßen?;Mit Kart for Rent kannst du Münchens Straßen unsicher machen. Die Karts erreichen eine Höchstgeschwindigkeit von bis zu 90 Km/h. Eine Stunde Kart-Spass kostet 35 Euro. Die Anlaufstelle befindet sich in der Karl-Wahler-Straße 2 in München.
true;false;Spass;Minigolf?;Im Olympiapark stehen 18 Minigolfbahnen und 18 Pit-Pat Tische für dich bereit. Die Minigolfanlage hat heute von 12 bis 18 Uhr geöffnet und der Eintrittspreis beträgt 5 Euro für Erwachsene und 4 Euro für Kinder. 
true;true;Spass;Einem Besuch im Tierpark Hellabrunn?;Der Münchner Tierpark Hellabrunn ist der erste Geozoo der Welt und einer der tierreichsten Zoos Europas. Er hat heute von 9 bis 17 Uhr geöffnet und befindet sich in der Tierparkstraße 30 in Thalkirchen. Die Tickets kosten für Erwachsene 15 Euro. 
true;true;Spass;Einem Besuch im Wildpark Poing?;Das Wildpark begeistert mit teilweise freilaufenden Tieren, Greifvogelvorführungen und einem riesigen Spielplatz. Er hat heute von 9 bis 16 Uhr geöffnet und befindet sich im Osterfeldweg 20 in Poing. Die Tickets kosten für Erwachsene 10 Euro. 
true;true;Spass;Einem Besuch im Märchenwald am Isartal?;Der Freizeitpark Märchenwald am Isartal  sorgt mit zahlreichen Attraktionen, atemberaubenden Fahrgeschäften und außergewöhnlichen Spiel- und Kletteranlagen für viel Spass. Die Öffnungszeiten sind heute von 9:00 bis 18:00 Uhr und die Tickets kosten 14 Euro für Erwachsene.  
false;false;Kultur;einem Konzert?;Egal ob Klassik oder Rock, in München finden immer tolle Konzerte statt. Da ist sicher auch deine Lieblingsband dabei – schau doch mal nach!
