location;duration;category;name;info 
false;true;Spass;Sealife;Im Sea Life Center im Olympiapark tauchst du in die Unterwasserwelt ein - ganz ohne nass zu werden. Im Aquarium schwimmen 4.500 Tiere verschiedener Fluss- und Meeresarten hinter den Scheiben vorbei. Das Sea Life findest du im Olympiapark und ist täglich bis 17 Uhr und am Wochenende bis 18 Uhr geöffnet. 
false;true;Spass;Lesecafé;Bei Regen vergeht ein Tag viel schöner mit einem guten Buch. In Lesecafés findest Du neben Büchern aber auch entspannte Ecken zum Schmökern und eine Auswahl an Kuchen und Getränken. Besonders gemütlich könnt Ihr bei Buch&Bohne am Kapuzinerplatz 4 einkehren. 
false;true;Spass;Bowlen ;Bowling ist immer eine Gaudi und Bowlingbahnen gibt es quer über die Stadt verteilt. Also schnapp dir ein paar Freunde und schau, wer die meisten Pins abräumt. 
true;false;Kultur;Viktualienmarkt Probiertour;Der Viktualienmarkt ist ein ständiger Markt für qualitativ hochwertige Lebensmittel in der Altstadt von München. Er findet seit 1807 täglich, außer an Sonn- und Feiertagen, statt. Das Erscheinungsbild des über zwei Hektar großen Geländes wird durch fest errichtete Buden mit zum Teil großen Auslagen geprägt. 
true;false;Kultur;Rikschatour;Auf dieser Stadtrundfahrt mit Führung erkundest du mit den ausgebildeten Rikscha-Guides die Altstadt München und begibst dich auf eine unterhaltsame Reise durch Geschichte und Gegenwart. Du besuchst nicht nur die Highlights, sondern bewegst dich auch abseits der Trampelpfade.  
true;false;Kultur;Graffitispaziergang durch München;München hat eine lebendige Street-Art-Szene. Vom buntesten Schlachthof Deutschland bis zur Künstlerbrücke - In ganz München lassen sich Graffiti, Stencils und Sticker entdecken. Wer mit offenen Augen durch die Stadt läuft, wird fündig werden. 
true;true;Kultur;Stadtrallye;Erlebe München aus einer andere Perspektive! Auf der Stadtrallye wirst du an geheimnisvolle Orte und versteckte Plätze geführt. Begebe dich auf die Spurensuche im Großstadt-Dschungel und löse gemeinsam im Team spannende Aufgaben. Die gemeinsame Auswertung findet anschließend in einem schönen Lokal statt. 
true;true;Kultur;3-Touren-Stadtrundfahrt;Die 3-Touren Stadtrundfahrt bietet dir einen Tag lang Münchens Sehenswürdigkeiten. An insgesamt 12 Stopps kannst du beliebig aus- oder zusteigen. Das 3-Touren-Ticket für Erwachsene kostet 22 Euro, ein Familienticket 49 Euro. Die Adresse der Ticketverkaufsstelle lautet Luisenstraße 4. 
true;true;Kultur;KZ-Gedenkstätte Dachau;Die KZ-Gedenkstätte Dachau wurde im Jahr 1965 auf dem Gelände des früheren Konzentrationslagers errichtet. Neben Originalschauplätzen erinnern auch ein Museum, ein Archiv und eine Bibliothek an die Opfer des NS-Terrors. Die Öffnungszeiten sind täglich von 9 bis 17 Uhr. 
true;false;Sport;Sightrunning;RunMunich verbindet Sport und Kultur zu einem einzigartigen Lauferlebnis. Auf spannenden Strecken entlang der Isar, durch den Englischen Garten und historische Altstadtgassen bietet München dabei alles, was das Läuferherz begehrt. Start ist jeweils um 9 Uhr und um 17 Uhr im Innenhof des Deutschen Museums. Die Tour beträgt  6 Kilometer. 
true;false;Sport;AOK Bewegungsinsel ;Bei der AOK-Bewegungsinsel handelt es sich um einen Outdoor-Trainingspark mit Einbindung von Koordinations- und Balancegeräten. Sie ist zu jeder Zeit kostenlos und frei zugänglich und befindet sich auf dem Olympiaparkgelände am Willi-Gebhardt-Ufer. 
true;false;Sport;Inline Skaten im Olympiapark;Im Englischen Garten findest du kilometerlangen FahrSpass durch abwechslungsreiche Natur. Für schnelleres Tempo ist der Park zwar meist zu belebt, doch es warten zahlreiche Einkehrmöglichkeiten und durch das verzweigte Wegenetz kann jeder die Rundenlänge seinen Bedürfnissen anpassen. 
true;true;Sport;Kletterwald;Der Kletterwald München bietet für Groß und Klein sowie Anfänger und Profikletterer Spass und Action auf insgesamt 5 Parcours. Er befindet sich am Walderlebniszentrum in Grünwald. Die Öffnungszeiten sind von Montag bis Freitag von 10 bis 19 Uhr. 
true;true;Sport;Radtour entlang der Mangfall;Auf meist ebener Strecke entlang der Mangfall führt dieser Radweg von München nach Rosenheim. Aying, der alte Industriestandort Bruckmühl und Bad Aibling liegen auf dem Weg. Schöne Eindrücke entlang der Route versprechen unter anderem die Rokokokirche Sankt Sebastian in Bad Aibling und das Innschifffahrtmuseum Rosenheim. 
true;true;Sport;Sightrunning;RunMunich verbindet Sport und Kultur zu einem einzigartigen Lauferlebnis. Auf spannenden Strecken entlang der Isar, durch den Englischen Garten und historische Altstadtgassen bietet München dabei alles, was das Läuferherz begehrt. Start ist jeweils um 9 Uhr und um 14 Uhr im Innenhof des Deutschen Museums. Die Tour beträgt 21 Kilometer. 
true;false;Spass;Flying Fox;Der Blick vom Dach des Olympiastadions von 40 Metern Höhe lässt einen im ersten Moment etwas zögern, jedoch ist der anschließende 200m lange Flug quer über das Olympiastadion ein einmaliges Erlebnis. Die Tickets kosten für Erwachsene 40 Euro und für Kinder, Schüler und Studenten 35 Euro. 
true;false;Spass;Gokart fahren auf Münchens Straßen;Wolltest du schon immer mal mit einem Gokart Münchens Straßen unsicher machen? Kart Four Rent macht dies möglich. Die Karts besitzen einen Viertaktmotor mit 13 PS und werden mit Normalbenzin gefahren. Sie erreichen eine Höchstgeschwindigkeit von bis zu 90 Km/h. Eine Stunde KartSpass kostet 35 Euro. 
true;false;Spass;Minigolf;Im Olympiapark stehen 18 Minigolfbahnen und 18 Pit-Pat Tische für dich bereit. Die Minigolfanlage hat täglich von 12 bis 18 Uhr geöffnet und der Eintrittspreis beträgt 5 Euro für Erwachsene und 4 Euro für Kinder. 
true;true;Spass;Tierpark Hellabrunn;Der Münchner Tierpark Hellabrunn ist der erste Geozoo der Welt und einer der tierreichsten Zoos Europas. Er hat jeden Tag von 9 bis 17 Uhr geöffnet und befindet sich in der Tierparkstraße 30 in Thalkirchen. Die Tickets kosten für Erwachsene 15 Euro und für Kinder 6 Euro. 
true;true;Spass;Wildpark Poing;Das Naturerlebnis in der Nähe von München begeistert mit ihren teilweise freilaufenden Tieren, Greifvogelvorführungen und einem riesigen Spielplatz. Der Wildpark hat täglich von 9 bis 16 Uhr geöffnet und befindet sich in Poing. Die Tickets kosten für Erwachsene 10 Euro und für Kinder 6 Euro. 
true;true;Spass;Märchenwald am Isartal;Der Freizeitpark Märchenwald am Isartal  lässt  nicht nur Kinderherzen höher schlagen. Zahlreiche Attraktionen, atemberaubende Fahrgeschäfte und außergewöhnliche Spiel- und Kletteranlagen sorgen  für viel Spass. Die Öffnungszeiten sind täglich von 9:00 bis 18:00 Uhr.  
false;false;Kultur;Konzert;Infos
